file_name,column_name,data_type,description,unit,allowed_values_or_range,missing_value_rule,notes
data/processed/phase5_deep_metrics.csv,epoch,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,train_loss,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,best_val_MAE,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,best_epoch,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,elapsed_seconds,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,horizon_hours,int64,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,n,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,best_epoch,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_horizon.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_model.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_model.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_model.csv,n,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_model.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_model.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics_by_model.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,horizon_hours,int64,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,device,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,train_samples,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,val_samples,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,test_samples,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
